collision_date,contributing_factor,num_contributing_factor
2016-01-29,Drugs (Illegal),1
2015-05-15,Windshield Inadequate,1
2013-04-13,Other Lighting Defects,1
2015-10-15,Drugs (Illegal),1
2012-11-24,Cell Phone (hand-held),1
2021-07-18,Cell Phone (hand-Held),2
2014-04-12,Cell Phone (hands-free),1
2015-08-25,Drugs (Illegal),1
2014-07-18,Drugs (Illegal),1
2019-03-24,Shoulders Defective/Improper,1
2019-04-22,Tow Hitch Defective,1
2019-06-25,Tow Hitch Defective,1
2015-10-01,Cell Phone (hand-held),1
2015-11-17,Cell Phone (hands-free),1
2014-07-12,Other Lighting Defects,1
2012-09-01,Headlights Defective,1
2016-03-14,80,2
2022-04-08,Using On Board Navigation Device,1
2014-10-15,Shoulders Defective/Improper,1
2016-02-11,Headlights Defective,2
2017-05-17,Vehicle Vandalism,2
2015-06-18,Cell Phone (hands-free),1
2015-07-08,Headlights Defective,1
2015-09-22,Cell Phone (hand-held),1
2016-04-11,Cell Phone (hand-Held),2
2014-11-06,Cell Phone (hands-free),1
2014-07-14,Drugs (Illegal),1
2012-08-22,Shoulders Defective/Improper,1
2019-09-16,Tow Hitch Defective,1
2018-10-04,Texting,1
2014-04-29,Windshield Inadequate,1
2015-05-04,Headlights Defective,1
2015-03-12,Cell Phone (hand-held),1
2013-06-17,Shoulders Defective/Improper,1
2016-03-31,80,2
2013-12-17,Shoulders Defective/Improper,1
2015-08-13,Cell Phone (hands-free),1
2013-11-08,Cell Phone (hands-free),1
